provider,fused_task,payload_size,memory_mb,measured_time_s,estimated_time_s,err_time_pct,measured_cost_M,estimated_cost_M,err_cost_pct
AWS,ae_passthrough_matrix_multiply,micro,128,0.38,0.344,9.42,0.2008,0.2007,0.04
AWS,ae_passthrough_matrix_multiply,micro,256,0.179,0.202,12.66,0.2007,0.2008,0.04
AWS,ae_passthrough_matrix_multiply,micro,512,0.115,0.121,4.78,0.2009,0.201,0.03
AWS,ae_passthrough_matrix_multiply,micro,768,0.106,0.107,0.56,0.2013,0.2013,0.0
AWS,ae_passthrough_matrix_multiply,micro,1024,0.085,0.096,12.64,0.2014,0.2016,0.11
AWS,ae_passthrough_matrix_multiply,micro,1536,0.086,0.089,3.63,0.2021,0.2022,0.05
AWS,ae_passthrough_matrix_multiply,micro,2048,0.086,0.091,6.23,0.2028,0.203,0.1
AWS,ae_passthrough_matrix_multiply,small,128,1.702,1.709,0.39,0.2035,0.2035,0.02
AWS,ae_passthrough_matrix_multiply,small,256,0.944,0.891,5.62,0.2038,0.2036,0.12
AWS,ae_passthrough_matrix_multiply,small,512,0.514,0.502,2.36,0.2042,0.2041,0.04
AWS,ae_passthrough_matrix_multiply,small,768,0.406,0.376,7.31,0.205,0.2046,0.17
AWS,ae_passthrough_matrix_multiply,small,1024,0.324,0.324,0.06,0.2053,0.2053,0.01
AWS,ae_passthrough_matrix_multiply,small,1536,0.26,0.241,7.21,0.2063,0.2059,0.21
AWS,ae_passthrough_matrix_multiply,small,2048,0.242,0.225,6.89,0.2079,0.2073,0.27
AWS,ae_passthrough_matrix_multiply,medium,512,5.806,5.629,3.04,0.2472,0.2458,0.59
AWS,ae_passthrough_matrix_multiply,medium,768,3.895,3.787,2.76,0.2475,0.2462,0.54
AWS,ae_passthrough_matrix_multiply,medium,1024,3.21,3.24,0.93,0.2523,0.2527,0.18
AWS,ae_passthrough_matrix_multiply,medium,1536,2.344,2.321,0.96,0.2572,0.2567,0.2
