provider,payload_size,task_A,task_B,mem_A_mb,mem_B_mb,mem_fused_mb,cost_A_per_M,cost_B_per_M,cost_sep_per_M,t_A_at_fused_s,t_B_at_fused_s,upload_A_at_fused_s,download_B_at_fused_s,upload_A_eliminated,download_B_eliminated,time_fused_est_s,cost_fused_est_per_M,delta_per_M,decision
AWS,micro,a_passthrough,a_passthrough,128,128,128,0.2006,0.2006,0.4012,0.282,0.282,0.083,0.2,True,True,0.281,0.2006,-0.2006,FUSE
AWS,micro,a_passthrough,a_passthrough,128,256,256,0.2006,0.2007,0.4013,0.174,0.174,0.041,0.133,True,True,0.174,0.2007,-0.2006,FUSE
AWS,micro,a_passthrough,a_passthrough,128,512,512,0.2006,0.2009,0.4015,0.116,0.116,0.04,0.075,True,True,0.117,0.201,-0.2005,FUSE
AWS,micro,a_passthrough,a_passthrough,128,768,768,0.2006,0.2013,0.4019,0.105,0.105,0.039,0.057,True,True,0.114,0.2014,-0.2005,FUSE
AWS,micro,a_passthrough,a_passthrough,128,1024,1024,0.2006,0.2015,0.4021,0.091,0.091,0.036,0.055,True,True,0.091,0.2015,-0.2006,FUSE
AWS,micro,a_passthrough,a_passthrough,128,1536,1536,0.2006,0.2021,0.4027,0.088,0.088,0.036,0.045,True,True,0.095,0.2023,-0.2004,FUSE
AWS,micro,a_passthrough,a_passthrough,128,2048,2048,0.2006,0.2028,0.4034,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.2005,FUSE
AWS,micro,a_passthrough,a_passthrough,256,128,256,0.2007,0.2006,0.4013,0.174,0.174,0.041,0.133,True,True,0.174,0.2007,-0.2006,FUSE
AWS,micro,a_passthrough,a_passthrough,256,256,256,0.2007,0.2007,0.4014,0.174,0.174,0.041,0.133,True,True,0.174,0.2007,-0.2007,FUSE
AWS,micro,a_passthrough,a_passthrough,256,512,512,0.2007,0.2009,0.4016,0.116,0.116,0.04,0.075,True,True,0.117,0.201,-0.2006,FUSE
AWS,micro,a_passthrough,a_passthrough,256,768,768,0.2007,0.2013,0.402,0.105,0.105,0.039,0.057,True,True,0.114,0.2014,-0.2006,FUSE
AWS,micro,a_passthrough,a_passthrough,256,1024,1024,0.2007,0.2015,0.4022,0.091,0.091,0.036,0.055,True,True,0.091,0.2015,-0.2007,FUSE
AWS,micro,a_passthrough,a_passthrough,256,1536,1536,0.2007,0.2021,0.4028,0.088,0.088,0.036,0.045,True,True,0.095,0.2023,-0.2005,FUSE
AWS,micro,a_passthrough,a_passthrough,256,2048,2048,0.2007,0.2028,0.4035,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.2006,FUSE
AWS,micro,a_passthrough,a_passthrough,512,128,512,0.2009,0.2006,0.4015,0.116,0.116,0.04,0.075,True,True,0.117,0.201,-0.2005,FUSE
AWS,micro,a_passthrough,a_passthrough,512,256,512,0.2009,0.2007,0.4016,0.116,0.116,0.04,0.075,True,True,0.117,0.201,-0.2006,FUSE
AWS,micro,a_passthrough,a_passthrough,512,512,512,0.2009,0.2009,0.4018,0.116,0.116,0.04,0.075,True,True,0.117,0.201,-0.2008,FUSE
AWS,micro,a_passthrough,a_passthrough,512,768,768,0.2009,0.2013,0.4022,0.105,0.105,0.039,0.057,True,True,0.114,0.2014,-0.2008,FUSE
AWS,micro,a_passthrough,a_passthrough,512,1024,1024,0.2009,0.2015,0.4024,0.091,0.091,0.036,0.055,True,True,0.091,0.2015,-0.2009,FUSE
AWS,micro,a_passthrough,a_passthrough,512,1536,1536,0.2009,0.2021,0.403,0.088,0.088,0.036,0.045,True,True,0.095,0.2023,-0.2007,FUSE
AWS,micro,a_passthrough,a_passthrough,512,2048,2048,0.2009,0.2028,0.4037,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.2008,FUSE
AWS,micro,a_passthrough,a_passthrough,768,128,768,0.2013,0.2006,0.4019,0.105,0.105,0.039,0.057,True,True,0.114,0.2014,-0.2005,FUSE
AWS,micro,a_passthrough,a_passthrough,768,256,768,0.2013,0.2007,0.402,0.105,0.105,0.039,0.057,True,True,0.114,0.2014,-0.2006,FUSE
AWS,micro,a_passthrough,a_passthrough,768,512,768,0.2013,0.2009,0.4022,0.105,0.105,0.039,0.057,True,True,0.114,0.2014,-0.2008,FUSE
AWS,micro,a_passthrough,a_passthrough,768,768,768,0.2013,0.2013,0.4026,0.105,0.105,0.039,0.057,True,True,0.114,0.2014,-0.2012,FUSE
AWS,micro,a_passthrough,a_passthrough,768,1024,1024,0.2013,0.2015,0.4028,0.091,0.091,0.036,0.055,True,True,0.091,0.2015,-0.2013,FUSE
AWS,micro,a_passthrough,a_passthrough,768,1536,1536,0.2013,0.2021,0.4034,0.088,0.088,0.036,0.045,True,True,0.095,0.2023,-0.2011,FUSE
AWS,micro,a_passthrough,a_passthrough,768,2048,2048,0.2013,0.2028,0.4041,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.2012,FUSE
AWS,micro,a_passthrough,a_passthrough,1024,128,1024,0.2015,0.2006,0.4021,0.091,0.091,0.036,0.055,True,True,0.091,0.2015,-0.2006,FUSE
AWS,micro,a_passthrough,a_passthrough,1024,256,1024,0.2015,0.2007,0.4022,0.091,0.091,0.036,0.055,True,True,0.091,0.2015,-0.2007,FUSE
AWS,micro,a_passthrough,a_passthrough,1024,512,1024,0.2015,0.2009,0.4024,0.091,0.091,0.036,0.055,True,True,0.091,0.2015,-0.2009,FUSE
AWS,micro,a_passthrough,a_passthrough,1024,768,1024,0.2015,0.2013,0.4028,0.091,0.091,0.036,0.055,True,True,0.091,0.2015,-0.2013,FUSE
AWS,micro,a_passthrough,a_passthrough,1024,1024,1024,0.2015,0.2015,0.403,0.091,0.091,0.036,0.055,True,True,0.091,0.2015,-0.2015,FUSE
AWS,micro,a_passthrough,a_passthrough,1024,1536,1536,0.2015,0.2021,0.4036,0.088,0.088,0.036,0.045,True,True,0.095,0.2023,-0.2013,FUSE
AWS,micro,a_passthrough,a_passthrough,1024,2048,2048,0.2015,0.2028,0.4043,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.2014,FUSE
AWS,micro,a_passthrough,a_passthrough,1536,128,1536,0.2021,0.2006,0.4027,0.088,0.088,0.036,0.045,True,True,0.095,0.2023,-0.2004,FUSE
AWS,micro,a_passthrough,a_passthrough,1536,256,1536,0.2021,0.2007,0.4028,0.088,0.088,0.036,0.045,True,True,0.095,0.2023,-0.2005,FUSE
AWS,micro,a_passthrough,a_passthrough,1536,512,1536,0.2021,0.2009,0.403,0.088,0.088,0.036,0.045,True,True,0.095,0.2023,-0.2007,FUSE
AWS,micro,a_passthrough,a_passthrough,1536,768,1536,0.2021,0.2013,0.4034,0.088,0.088,0.036,0.045,True,True,0.095,0.2023,-0.2011,FUSE
AWS,micro,a_passthrough,a_passthrough,1536,1024,1536,0.2021,0.2015,0.4036,0.088,0.088,0.036,0.045,True,True,0.095,0.2023,-0.2013,FUSE
AWS,micro,a_passthrough,a_passthrough,1536,1536,1536,0.2021,0.2021,0.4042,0.088,0.088,0.036,0.045,True,True,0.095,0.2023,-0.2019,FUSE
AWS,micro,a_passthrough,a_passthrough,1536,2048,2048,0.2021,0.2028,0.4049,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.202,FUSE
AWS,micro,a_passthrough,a_passthrough,2048,128,2048,0.2028,0.2006,0.4034,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.2005,FUSE
AWS,micro,a_passthrough,a_passthrough,2048,256,2048,0.2028,0.2007,0.4035,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.2006,FUSE
AWS,micro,a_passthrough,a_passthrough,2048,512,2048,0.2028,0.2009,0.4037,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.2008,FUSE
AWS,micro,a_passthrough,a_passthrough,2048,768,2048,0.2028,0.2013,0.4041,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.2012,FUSE
AWS,micro,a_passthrough,a_passthrough,2048,1024,2048,0.2028,0.2015,0.4043,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.2014,FUSE
AWS,micro,a_passthrough,a_passthrough,2048,1536,2048,0.2028,0.2021,0.4049,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.202,FUSE
AWS,micro,a_passthrough,a_passthrough,2048,2048,2048,0.2028,0.2028,0.4056,0.085,0.085,0.037,0.045,True,True,0.088,0.2029,-0.2027,FUSE
AWS,micro,a_passthrough,b_compress,128,128,128,0.2006,0.2007,0.4013,0.282,0.363,0.083,0.2,True,True,0.362,0.2007,-0.2006,FUSE
AWS,micro,a_passthrough,b_compress,128,256,256,0.2006,0.2009,0.4015,0.174,0.222,0.041,0.138,True,True,0.217,0.2009,-0.2006,FUSE
AWS,micro,a_passthrough,b_compress,128,512,512,0.2006,0.2009,0.4015,0.116,0.105,0.04,0.06,True,True,0.121,0.201,-0.2005,FUSE
AWS,micro,a_passthrough,b_compress,128,768,768,0.2006,0.2012,0.4018,0.105,0.099,0.039,0.05,True,True,0.115,0.2014,-0.2004,FUSE
AWS,micro,a_passthrough,b_compress,128,1024,1024,0.2006,0.2017,0.4023,0.091,0.104,0.036,0.05,True,True,0.109,0.2018,-0.2005,FUSE
AWS,micro,a_passthrough,b_compress,128,1536,1536,0.2006,0.2023,0.4029,0.088,0.093,0.036,0.046,True,True,0.099,0.2024,-0.2005,FUSE
AWS,micro,a_passthrough,b_compress,128,2048,2048,0.2006,0.203,0.4036,0.085,0.093,0.037,0.05,True,True,0.091,0.203,-0.2006,FUSE
AWS,micro,a_passthrough,b_compress,256,128,256,0.2007,0.2007,0.4014,0.174,0.222,0.041,0.138,True,True,0.217,0.2009,-0.2005,FUSE
AWS,micro,a_passthrough,b_compress,256,256,256,0.2007,0.2009,0.4016,0.174,0.222,0.041,0.138,True,True,0.217,0.2009,-0.2007,FUSE
AWS,micro,a_passthrough,b_compress,256,512,512,0.2007,0.2009,0.4016,0.116,0.105,0.04,0.06,True,True,0.121,0.201,-0.2006,FUSE
AWS,micro,a_passthrough,b_compress,256,768,768,0.2007,0.2012,0.4019,0.105,0.099,0.039,0.05,True,True,0.115,0.2014,-0.2005,FUSE
