task,payload_size,memory_mb,invocation_latency_ms,input_key,output_key,input_size_bytes,output_size_bytes,download_time_ms,compute_time_ms,upload_time_ms,total_time_ms,download_bandwidth_mbs,upload_bandwidth_mbs,step,chain,run_id,error
e_matrix_multiply,large,1536,26658.544779000000,payloads/matrix_large.bin,intermediate/task_e_matrix_multiply_1536mb_large_0.out,262113412,262113412,6323.721395,14726.319627,3831.891868,24881.93289,41.449235000000002,68.40313399999999,,,,
e_matrix_multiply,large,1536,25169.124603000000,payloads/matrix_large.bin,intermediate/task_e_matrix_multiply_1536mb_large_1.out,262113412,262113412,5204.880533,13661.495775,5135.155365,24001.531673,50.3591600000000,51.04293700000000,,,,
e_matrix_multiply,large,1536,23761.304140000000,payloads/matrix_large.bin,intermediate/task_e_matrix_multiply_1536mb_large_2.out,262113412,262113412,4955.720143,13402.799452,4490.445906,22848.965501,52.89108400000000,58.37135500000000,,,,
e_matrix_multiply,large,1536,27422.48559000000,payloads/matrix_large.bin,intermediate/task_e_matrix_multiply_1536mb_large_3.out,262113412,262113412,4491.899595,17002.02476,4990.018644,26483.942999,58.35246500000000,52.527541999999997,,,,
e_matrix_multiply,large,1536,23025.349855000000,payloads/matrix_large.bin,intermediate/task_e_matrix_multiply_1536mb_large_4.out,262113412,262113412,3125.418224,14144.442248,4988.92001,22258.780482,83.86506799999999,52.53910900000000,,,,
e_matrix_multiply,large,1536,28407.052755000001,payloads/matrix_large.bin,intermediate/task_e_matrix_multiply_1536mb_large_5.out,262113412,262113412,6870.73033,16020.382455,4522.055637,27413.168422,38.14928000000000,57.9633320000000,,,,
e_matrix_multiply,large,2048,31559.70430400000,payloads/matrix_large.bin,intermediate/task_e_matrix_multiply_2048mb_large_0.out,262113412,262113412,6281.799788,17429.103004,6747.662504,30458.565296,41.72584600000000,38.84506800000000,,,,
e_matrix_multiply,large,2048,27082.653998999998,payloads/matrix_large.bin,intermediate/task_e_matrix_multiply_2048mb_large_1.out,262113412,262113412,5623.519223,16230.05007,4338.538957,26192.10825,46.61021000000000,60.41513400000000,,,,
e_matrix_multiply,large,2048,23654.12187600000,payloads/matrix_large.bin,intermediate/task_e_matrix_multiply_2048mb_large_2.out,262113412,262113412,3471.868905,15485.843948,3839.22589,22796.938743,75.4963450000000,68.27246400000000,,,,
e_matrix_multiply,large,2048,19916.258097000002,payloads/matrix_large.bin,intermediate/task_e_matrix_multiply_2048mb_large_3.out,262113412,262113412,5156.981504,9206.292199,4650.733028,19014.006731,50.82690600000000,56.35959100000000,,,,
e_matrix_multiply,large,2048,23668.73526600000,payloads/matrix_large.bin,intermediate/task_e_matrix_multiply_2048mb_large_4.out,262113412,262113412,4432.819126,13983.043691,4342.416307,22758.279124,59.13018400000000,60.361189000000003,,,,
e_matrix_multiply,large,2048,26740.46468700000,payloads/matrix_large.bin,intermediate/task_e_matrix_multiply_2048mb_large_5.out,262113412,262113412,5802.669439,16113.477247,4007.989209,25924.135895,45.17117800000000,65.39773400000000,,,,
