task,payload_size,memory_mb,invocation_latency_ms,input_key,output_key,input_size_bytes,output_size_bytes,download_time_ms,compute_time_ms,upload_time_ms,total_time_ms,download_bandwidth_mbs,upload_bandwidth_mbs,step,chain,run_id,error,primary_download_time_ms,primary_upload_time_ms,additional_download_time_ms,additional_upload_time_ms,additional_download_count,additional_upload_count
a_passthrough,micro,128,221.88520399999999,payloads/matrix_micro.bin,intermediate/task_a_passthrough_128mb_micro_1.out,102156,102156,90.114186,0.000178,70.471062,160.585426,1.133628000000000,1.4496160000000000,,,,,,,,,,
a_passthrough,micro,128,221.23384500000000,payloads/matrix_micro.bin,intermediate/task_a_passthrough_128mb_micro_2.out,102156,102156,88.53107,0.000159,75.136503,163.667732,1.1538999999999999,1.3596050000000000,,,,,,,,,,
a_passthrough,micro,128,220.14451000000000,payloads/matrix_micro.bin,intermediate/task_a_passthrough_128mb_micro_3.out,102156,102156,97.354713,0.000128,63.08762,160.442461,1.0493170000000001,1.6192720000000000,,,,,,,,,,
a_passthrough,micro,128,228.8045880000000,payloads/matrix_micro.bin,intermediate/task_a_passthrough_128mb_micro_4.out,102156,102156,93.917593,0.000143,71.275324,165.19306,1.087720000000000,1.4332590000000001,,,,,,,,,,
a_passthrough,micro,128,204.48660899999999,payloads/matrix_micro.bin,intermediate/task_a_passthrough_128mb_micro_5.out,102156,102156,84.956219,0.000145,58.699515,143.655879,1.2024550000000001,1.7403210000000000,,,,,,,,,,
a_passthrough,micro,256,256.17408799999998,payloads/matrix_micro.bin,intermediate/task_a_passthrough_256mb_micro_1.out,102156,102156,101.186263,0.00018,92.854305,194.040748,1.00958400000000,1.1001749999999999,,,,,,,,,,
a_passthrough,micro,256,240.3545380000000,payloads/matrix_micro.bin,intermediate/task_a_passthrough_256mb_micro_2.out,102156,102156,110.125217,0.00036,69.025499,179.151076,0.9276350000000000,1.4799750000000000,,,,,,,,,,
a_passthrough,micro,256,241.12772899999999,payloads/matrix_micro.bin,intermediate/task_a_passthrough_256mb_micro_3.out,102156,102156,99.099544,0.00018,72.939142,172.038866,1.0308420000000000,1.4005650000000001,,,,,,,,,,
a_passthrough,micro,256,232.006311000000,payloads/matrix_micro.bin,intermediate/task_a_passthrough_256mb_micro_4.out,102156,102156,94.306172,0.00026,72.052568,166.359,1.083238000000000,1.4177979999999999,,,,,,,,,,
a_passthrough,micro,256,224.49397999999999,payloads/matrix_micro.bin,intermediate/task_a_passthrough_256mb_micro_5.out,102156,102156,94.863417,0.00015,59.887688,154.751255,1.0768750000000000,1.7057929999999999,,,,,,,,,,
a_passthrough,micro,512,232.5930600000000,payloads/matrix_micro.bin,intermediate/task_a_passthrough_512mb_micro_1.out,102156,102156,104.089983,0.00014,68.012701,172.102824,0.981420000000000,1.5020140000000000,,,,,,,,,,
